location_id,is_verified,is_hidden,is_location_screening_patients,is_location_collecting_specimens,location_name,location_address_street,location_address_locality,location_address_region,location_address_postal_code,lat,lng,location_place_of_service_type,location_contact_phone_main,location_contact_url_main,location_hours_of_operation,is_location_accepting_third_party_orders_for_testing,is_location_only_testing_patients_that_meet_criteria,is_location_by_appointment_only,location_contact_phone_appointments,location_contact_url_appointments,location_specific_testing_criteria,additional_information_for_patients,data_source,is_ready_for_prod,location_address_district,geometry
6ca2fc6d-7e78-4065-8906-ef610f3bfc3c,f,f,t,f,Olivet Health Department,140 Euclid Street,Olivet,South Dakota,,43.2410819,-97.6746926,Public Health Department,605-387-4218,,,,,,,,,,provider website,,,POINT (-97.6746926 43.2410819)
4ec75b5d-b8fe-48d8-9f7c-73400ecd16ad,f,f,t,f,Montana Health Department,220 West Lamme Street,Bozeman,Montana,,45.681274,-111.04208999999999,Public Health Department,406-522-2271,,,,,,,,,,provider website,,,POINT (-111.04209 45.681274)
a8ee7594-6166-41b0-a8a7-119b1c0973ce,t,f,t,f,UW Medical Center - Northwest,1550 N 115th St.,Seattle,WA,98133.0,47.712307,-122.33911,Public Health Department,877-694-4677,https://www.uwmedicine.org/locations/northwest-hospital,,f,t,t,,,https://www.doh.wa.gov/Emergencies/NovelCoronavirusOutbreak2020/TestingforCOVID19,https://www.doh.wa.gov/Emergencies/Coronavirus,provider website,,,POINT (-122.33911 47.712307)
13ca33b3-8287-44c0-a226-7df76a6a303f,f,f,t,f,Health Officer - Concord,385 West Main Street,Concord,Vermont,,44.461197,-71.69618,Public Health Department,802-695-1094,http://www.concordvt.us/health.php,,,,,,,,,provider website,,,POINT (-71.69618 44.461197)
3aaff55d-3571-4dbf-9439-0353426c40e5,f,f,t,f,Oklahoma State Department of Health,1000 Northeast 10th Street,Oklahoma,Oklahoma,,35.477990000000005,-97.48937,Public Health Department,405-271-5600,http://www.ok.gov/health/,,,,,,,,,provider website,,,POINT (-97.48937 35.47799)
cabfe6cb-6872-4f17-9827-a815bc90a6c1,f,f,t,f,Mississippi State Health Department,901 Union Road,Tylertown,Mississippi,,31.130803999999998,-90.13838,Public Health Department,601-876-4924,,,,,,,,,,provider website,,,POINT (-90.13838 31.130804)
d8af4915-9405-4b53-b9d5-ebb75d47e792,f,f,t,f,White County Health Department,112 Brantley Rd,Searcy,Arkansas,,35.206802,-91.73356,Public Health Department,501-268-6102,http://www.healthyarkansas.com/units/new.php#beebe,,,,,,,,,provider website,,,POINT (-91.73356 35.206802)
706630af-ab5a-4853-adaa-55f7d5efc948,t,f,t,t,Skokie Hospital,9600 Gross Point Road,Skokie,IL,60076.0,42.056227500000006,-87.7400858,Hospital,847.677.9600,https://www.northshore.org/locations/our-hospitals/skokie-hospital/,,f,t,f,847.432.5849,,,,entity website,,,POINT (-87.7400858 42.0562275)
8e8b8a95-8708-4c8c-b021-3d4f236b5abe,f,f,t,f,Gulf County Health Department,807 Florida 22,Wewahitchka,Florida,,30.118229,-85.20976,Public Health Department,850-639-4414,,,,,,,,,,provider website,,,POINT (-85.20976 30.118229)
ddf04d63-3b36-4e3e-8364-17c3871bb3af,f,f,t,f,Mineral County Health Department,HARLEY O STAGGERS SR Dr,Keyser,West Virginia,,39.4287312,-78.9859962,Public Health Department,301-786-4459,,,,,,,,,,provider website,,,POINT (-78.9859962 39.4287312)
